"Tarih","Saat","Tüketim Miktarý (MWh)"
"15.01.2021","01:00","32.630,52"
"15.01.2021","02:00","31.267,88"
"15.01.2021","03:00","30.521,89"
"15.01.2021","04:00","30.196,63"
"15.01.2021","05:00","30.598,00"
"15.01.2021","06:00","31.366,48"
"15.01.2021","07:00","33.207,14"
"15.01.2021","08:00","37.689,72"
"15.01.2021","09:00","41.668,52"
"15.01.2021","10:00","43.957,06"
"15.01.2021","11:00","45.017,39"
"15.01.2021","12:00","43.715,49"
"15.01.2021","13:00","43.120,69"
"15.01.2021","14:00","44.064,12"
"15.01.2021","15:00","43.447,50"
"15.01.2021","16:00","42.809,16"
"15.01.2021","17:00","42.392,31"
"15.01.2021","18:00","41.882,59"
"15.01.2021","19:00","40.550,77"
"15.01.2021","20:00","39.176,28"
"15.01.2021","21:00","38.265,84"
"15.01.2021","22:00","37.583,46"
"15.01.2021","23:00","36.381,70"
"16.01.2021","00:00","34.495,69"
"16.01.2021","01:00","32.761,98"
"16.01.2021","02:00","31.380,61"
"16.01.2021","03:00","30.590,20"
"16.01.2021","04:00","30.154,35"
"16.01.2021","05:00","30.102,28"
"16.01.2021","06:00","30.332,18"
"16.01.2021","07:00","31.068,98"
"16.01.2021","08:00","32.796,07"
"16.01.2021","09:00","35.393,70"
"16.01.2021","10:00","37.751,75"
"16.01.2021","11:00","39.458,65"
"16.01.2021","12:00","39.499,50"
"16.01.2021","13:00","40.054,60"
"16.01.2021","14:00","40.095,90"
"16.01.2021","15:00","39.329,22"
"16.01.2021","16:00","38.876,75"
"16.01.2021","17:00","38.796,07"
"16.01.2021","18:00","39.306,08"
"16.01.2021","19:00","38.599,21"
"16.01.2021","20:00","37.503,37"
"16.01.2021","21:00","36.818,14"
"16.01.2021","22:00","36.071,99"
"16.01.2021","23:00","34.779,03"
"17.01.2021","00:00","33.176,86"
"17.01.2021","01:00","31.317,25"
"17.01.2021","02:00","29.840,06"
"17.01.2021","03:00","28.944,23"
"17.01.2021","04:00","28.499,51"
"17.01.2021","05:00","28.339,21"
"17.01.2021","06:00","28.247,60"
"17.01.2021","07:00","27.977,26"
"17.01.2021","08:00","27.518,29"
"17.01.2021","09:00","29.514,93"
"17.01.2021","10:00","32.072,82"
"17.01.2021","11:00","34.130,46"
"17.01.2021","12:00","34.819,59"
"17.01.2021","13:00","35.403,07"
"17.01.2021","14:00","35.191,33"
"17.01.2021","15:00","34.886,03"
"17.01.2021","16:00","34.858,26"
"17.01.2021","17:00","35.187,82"
"17.01.2021","18:00","36.640,77"
"17.01.2021","19:00","36.266,70"
"17.01.2021","20:00","35.638,82"
"17.01.2021","21:00","34.933,87"
"17.01.2021","22:00","34.502,67"
"17.01.2021","23:00","33.483,58"
"18.01.2021","00:00","31.708,09"
"18.01.2021","01:00","30.131,19"
"18.01.2021","02:00","28.773,19"
"18.01.2021","03:00","27.955,74"
"18.01.2021","04:00","27.921,93"
"18.01.2021","05:00","28.260,68"
"18.01.2021","06:00","29.132,30"
"18.01.2021","07:00","31.578,19"
"18.01.2021","08:00","37.341,09"
"18.01.2021","09:00","42.611,32"
"18.01.2021","10:00","44.964,43"
"18.01.2021","11:00","46.570,17"
"18.01.2021","12:00","45.732,19"
"18.01.2021","13:00","46.167,60"
"18.01.2021","14:00","46.390,88"
"18.01.2021","15:00","45.611,67"
"18.01.2021","16:00","45.112,95"
"18.01.2021","17:00","44.297,05"
"18.01.2021","18:00","43.671,83"
"18.01.2021","19:00","42.261,27"
"18.01.2021","20:00","40.663,05"
"18.01.2021","21:00","39.606,89"
"18.01.2021","22:00","38.735,36"
"18.01.2021","23:00","37.550,23"
"19.01.2021","00:00","35.126,66"
"19.01.2021","01:00","33.302,20"
"19.01.2021","02:00","31.786,22"
"19.01.2021","03:00","31.162,15"
"19.01.2021","04:00","30.840,60"
"19.01.2021","05:00","30.934,02"
"19.01.2021","06:00","31.884,40"
"19.01.2021","07:00","33.738,91"
"19.01.2021","08:00","38.713,75"
"19.01.2021","09:00","43.697,46"
"19.01.2021","10:00","46.127,55"
"19.01.2021","11:00","47.190,40"
"19.01.2021","12:00","46.116,10"
